index,timestamp_ms,temperature1_c,humidity1_percent,temperature2_c,humidity2_percent,status
0,5037,8.40,81.00,8.80,82.40,OK
1,10041,8.40,81.00,8.80,82.20,OK
2,15044,8.40,80.00,8.70,82.10,OK
3,20048,8.40,80.00,8.70,82.00,OK
4,25051,8.40,80.00,8.70,81.80,OK
5,30054,8.40,80.00,8.60,81.80,OK
6,35057,8.40,80.00,8.60,81.70,OK
7,40060,8.40,80.00,8.50,81.60,OK
8,45063,8.40,80.00,8.50,81.50,OK
9,50066,8.40,79.00,8.50,81.20,OK
10,55069,8.40,79.00,8.40,81.40,OK
11,60072,8.10,79.00,8.40,81.40,OK
12,65075,8.00,79.00,8.40,81.30,OK
13,70078,8.00,78.00,8.30,81.20,OK
14,75081,8.00,78.00,8.30,81.10,OK
15,80084,8.00,78.00,8.30,81.00,OK
16,85087,8.00,78.00,8.20,81.00,OK
17,90090,8.00,78.00,8.20,81.00,OK
18,95093,8.00,77.00,8.20,80.90,OK
19,100096,8.00,77.00,8.10,80.90,OK
20,105099,8.00,77.00,8.10,80.80,OK
21,110102,8.00,77.00,8.10,80.80,OK
22,115105,8.00,77.00,8.00,80.70,OK
23,120108,8.00,76.00,8.00,80.70,OK
24,125111,8.00,76.00,8.00,80.60,OK
25,130114,8.00,76.00,8.00,80.50,OK
26,135117,7.60,76.00,7.90,80.50,OK
27,140121,7.60,76.00,7.90,80.50,OK
28,145125,7.60,76.00,7.90,80.50,OK
29,150129,7.60,76.00,7.90,80.50,OK
30,155133,7.60,76.00,7.80,80.40,OK
31,160136,7.60,76.00,7.80,80.30,OK
32,165139,7.60,76.00,7.80,80.30,OK
33,170142,7.60,76.00,7.80,80.20,OK
34,175145,7.60,76.00,7.70,80.10,OK
35,180148,7.60,76.00,7.70,80.00,OK
36,185151,7.60,76.00,7.70,80.00,OK
37,190154,7.60,76.00,7.70,80.00,OK
38,195157,7.60,76.00,7.60,80.00,OK
39,200160,7.60,76.00,7.60,80.00,OK
40,205163,7.60,76.00,7.60,79.80,OK
41,210166,7.60,76.00,7.60,79.80,OK
42,215169,7.60,75.00,7.60,79.70,OK
43,220172,7.60,75.00,7.50,79.70,OK
44,225180,7.60,75.00,7.50,79.60,OK
45,230181,7.40,75.00,7.50,79.60,OK
46,235184,7.10,75.00,7.50,79.40,OK
47,240189,7.10,75.00,7.50,79.40,OK
48,245196,7.10,75.00,7.40,79.40,OK
49,250202,7.10,75.00,7.40,79.40,OK
50,255206,7.10,75.00,7.40,79.30,OK
51,260210,7.10,75.00,7.40,79.20,OK
52,265214,7.10,75.00,7.40,79.20,OK
53,270219,7.10,75.00,7.40,79.10,OK
54,275225,7.10,74.00,7.30,79.10,OK
